file,start_offset_bytes,end_offset_bytes,length_bytes,duration_sec@16k
sample_000.wav,0,1294,1294,0.080875
sample_001.wav,3047,28718,25671,1.6044375
sample_002.wav,31008,59549,28541,1.7838125
sample_003.wav,59923,82018,22095,1.3809375
sample_004.wav,84917,115358,30441,1.9025625
sample_005.wav,117038,169663,52625,3.2890625
sample_006.wav,172289,187388,15099,0.9436875
sample_007.wav,188444,212976,24532,1.53325
sample_008.wav,213299,235928,22629,1.4143125
sample_009.wav,236728,265310,28582,1.786375
sample_010.wav,265959,294240,28281,1.7675625
sample_011.wav,295419,328654,33235,2.0771875
sample_012.wav,329871,362256,32385,2.0240625
sample_013.wav,364037,414467,50430,3.151875
sample_014.wav,414993,426324,11331,0.7081875
sample_015.wav,426601,458119,31518,1.969875
sample_016.wav,459709,503428,43719,2.7324375
sample_017.wav,503796,536284,32488,2.0305
sample_018.wav,536995,554346,17351,1.0844375
sample_019.wav,555193,586320,31127,1.9454375
sample_020.wav,588618,622577,33959,2.1224375
sample_021.wav,623880,671988,48108,3.00675
sample_022.wav,672084,839682,167598,10.474875
sample_023.wav,841169,902297,61128,3.8205
sample_024.wav,903543,937670,34127,2.1329375
sample_025.wav,939982,1018498,78516,4.90725
sample_026.wav,1019197,1056948,37751,2.3594375
sample_027.wav,1057922,1077426,19504,1.219
sample_028.wav,1079279,1123077,43798,2.737375
sample_029.wav,1124140,1143574,19434,1.214625
sample_030.wav,1146427,1162668,16241,1.0150625
sample_031.wav,1166119,1174327,8208,0.513
sample_032.wav,1175118,1177134,2016,0.126
sample_033.wav,1177543,1185445,7902,0.493875
sample_034.wav,1188684,1192935,4251,0.2656875
sample_035.wav,1193454,1213897,20443,1.2776875
sample_036.wav,1215791,1230832,15041,0.9400625
sample_037.wav,1231409,1236065,4656,0.291
sample_038.wav,1236378,1245795,9417,0.5885625
sample_039.wav,1246945,1249595,2650,0.165625
sample_040.wav,1249968,1257472,7504,0.469
sample_041.wav,1258049,1270093,12044,0.75275
sample_042.wav,1271205,1281479,10274,0.642125
sample_043.wav,1282553,1285454,2901,0.1813125
sample_044.wav,1286198,1291909,5711,0.3569375
sample_045.wav,1292381,1303077,10696,0.6685
sample_046.wav,1304291,1318125,13834,0.864625
sample_047.wav,1318506,1356633,38127,2.3829375
sample_048.wav,1357730,1364684,6954,0.434625
sample_049.wav,1365002,1374148,9146,0.571625
sample_050.wav,1375002,1385321,10319,0.6449375
sample_051.wav,1388075,1409734,21659,1.3536875
sample_052.wav,1415890,1429032,13142,0.821375
sample_053.wav,1429603,1451395,21792,1.362
sample_054.wav,1454114,1482044,27930,1.745625
sample_055.wav,1487531,1497170,9639,0.6024375
sample_056.wav,1499584,1523809,24225,1.5140625
sample_057.wav,1524061,1532138,8077,0.5048125
sample_058.wav,1532617,1534046,1429,0.0893125
sample_059.wav,1535062,1564094,29032,1.8145
sample_060.wav,1570392,1603907,33515,2.0946875
sample_061.wav,1611413,1617740,6327,0.3954375
sample_062.wav,1618034,1623782,5748,0.35925
sample_063.wav,1624682,1633017,8335,0.5209375
sample_064.wav,1633635,1653087,19452,1.21575
sample_065.wav,1654561,1708244,53683,3.3551875
sample_066.wav,1708590,1741393,32803,2.0501875
sample_067.wav,1741867,1790342,48475,3.0296875
sample_068.wav,1791346,1845729,54383,3.3989375
sample_069.wav,1846971,1872987,26016,1.626
sample_070.wav,1873306,1889509,16203,1.0126875
sample_071.wav,1889747,1892773,3026,0.189125
sample_072.wav,1893645,1906458,12813,0.8008125
sample_073.wav,1906507,1934337,27830,1.739375
sample_074.wav,1934711,1972604,37893,2.3683125
sample_075.wav,1974706,1993384,18678,1.167375
sample_076.wav,1994034,2034670,40636,2.53975
sample_077.wav,2038407,2049897,11490,0.718125
sample_078.wav,2050171,2060376,10205,0.6378125
sample_079.wav,2061019,2086483,25464,1.5915
sample_080.wav,2087896,2097152,9256,0.5785
